p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
11,11,28,11.28.a.b,-8,0,8,-3,-1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,28,11.28.a.b,-3,1,4,-3,-1,2:[1:0];3:[1:5];5:[1:1];7:[1:0],1,1
11,11,28,11.28.a.b,-5,2,7,-3,-1,2:[1:2];3:[1:2];5:[1:9];7:[1:5],1,1
11,11,28,11.28.a.b,-4,2,6,-3,-1,2:[1:3];3:[1:1];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.b,-6,2,8,-3,-1,2:[1:3];3:[1:1];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.b,-1,-1,0,-3,-1,2:[1:5];3:[1:5];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.b,-10,0,10,-3,-1,2:[1:5];3:[1:5];5:[1:7];7:[1:4],1,1
11,11,28,11.28.a.b,-5,2,7,-3,-1,2:[1:6];3:[1:5];5:[1:7];7:[1:7],1,1
11,11,28,11.28.a.b,-9,1,10,-3,-1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,28,11.28.a.b,-1,1,2,-3,-1,2:[1:8];3:[1:1];5:[1:7];7:[1:7],1,1
11,11,28,11.28.a.b,-10,1,11,-3,-1,2:[1:9];3:[1:2];5:[1:9];7:[1:6],1,1
11,11,28,11.28.a.b,-1,0,1,-3,-1,2:[1:9];3:[1:2];5:[1:9];7:[1:6],1,1
11,11,30,11.30.a.a,-2,1,3,8,-1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,30,11.30.a.a,-8,1,9,8,-1,2:[1:0];3:[1:4];5:[1:5];7:[1:0],1,1
11,11,30,11.30.a.a,-5,1,6,8,-1,2:[1:1];3:[1:4];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.a,-5,2,7,8,-1,2:[1:4];3:[1:6];5:[1:1];7:[1:2],1,1
11,11,30,11.30.a.a,-1,1,2,8,-1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
11,11,30,11.30.a.a,-11,1,12,8,-1,2:[1:5];3:[1:3];5:[1:2];7:[1:5],1,1
