p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
17,51,60,51.60.a.a,-25,0,25,-8,1,2:[1:6];5:[1:10];7:[1:9];11:[1:6];13:[1:3];19:[1:16];23:[1:7];29:[1:10];31:[1:15];37:[1:2];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:5];67:[1:16];71:[1:3];73:[1:11];79:[1:6];83:[1:12];89:[1:0];97:[1:16];101:[1:3],1,1
17,51,60,51.60.a.a,-7,0,7,-8,1,2:[1:6];5:[1:10];7:[1:9];11:[1:6];13:[1:3];19:[1:16];23:[1:7];29:[1:10];31:[1:15];37:[1:2];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:5];67:[1:16];71:[1:3];73:[1:11];79:[1:6];83:[1:12];89:[1:0];97:[1:16];101:[1:3],1,1
17,51,60,51.60.a.a,-23,0,23,-8,1,2:[1:6];5:[1:10];7:[1:9];11:[1:6];13:[1:3];19:[1:16];23:[1:7];29:[1:10];31:[1:15];37:[1:2];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:5];67:[1:16];71:[1:3];73:[1:11];79:[1:6];83:[1:12];89:[1:0];97:[1:16];101:[1:3],1,1
17,51,60,51.60.a.a,-8,1,9,-8,1,2:[1:6];5:[1:1];7:[1:14];11:[1:16];13:[1:5];19:[1:6];23:[1:2];29:[1:12];31:[1:7];37:[1:14];41:[1:14];43:[1:5];47:[1:5];53:[1:6];59:[1:4];61:[1:2];67:[1:0];71:[1:14];73:[1:1];79:[1:16];83:[1:2];89:[1:14];97:[1:12];101:[1:0],1,1
17,51,60,51.60.a.a,-9,0,9,-8,1,2:[1:6];5:[1:10];7:[1:9];11:[1:6];13:[1:3];19:[1:16];23:[1:7];29:[1:10];31:[1:15];37:[1:2];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:5];67:[1:16];71:[1:3];73:[1:11];79:[1:6];83:[1:12];89:[1:0];97:[1:16];101:[1:3],1,1
17,51,60,51.60.a.a,-24,1,25,-8,1,2:[1:6];5:[1:1];7:[1:14];11:[1:16];13:[1:5];19:[1:6];23:[1:2];29:[1:12];31:[1:7];37:[1:14];41:[1:14];43:[1:5];47:[1:5];53:[1:6];59:[1:4];61:[1:2];67:[1:0];71:[1:14];73:[1:1];79:[1:16];83:[1:2];89:[1:14];97:[1:12];101:[1:0],1,1
17,51,60,51.60.a.a,-6,1,7,-8,1,2:[1:7];5:[1:2];7:[1:1];11:[1:13];13:[1:10];19:[1:11];23:[1:1];29:[1:3];31:[1:6];37:[1:13];41:[1:15];43:[1:10];47:[1:12];53:[1:5];59:[1:14];61:[1:3];67:[1:1];71:[1:15];73:[1:15];79:[1:16];83:[1:2];89:[1:12];97:[1:11];101:[1:1],1,1
17,51,60,51.60.a.a,-10,1,11,-8,1,2:[1:7];5:[1:2];7:[1:1];11:[1:13];13:[1:10];19:[1:11];23:[1:1];29:[1:3];31:[1:6];37:[1:13];41:[1:15];43:[1:10];47:[1:12];53:[1:5];59:[1:14];61:[1:3];67:[1:1];71:[1:15];73:[1:15];79:[1:16];83:[1:2];89:[1:12];97:[1:11];101:[1:1],1,1
17,51,60,51.60.a.a,-22,1,23,-8,1,2:[1:7];5:[1:2];7:[1:1];11:[1:13];13:[1:10];19:[1:11];23:[1:1];29:[1:3];31:[1:6];37:[1:13];41:[1:15];43:[1:10];47:[1:12];53:[1:5];59:[1:14];61:[1:3];67:[1:1];71:[1:15];73:[1:15];79:[1:16];83:[1:2];89:[1:12];97:[1:11];101:[1:1],1,1
17,51,60,51.60.a.a,-3,1,4,-8,1,2:[1:10];5:[1:9];7:[1:9];11:[1:8];13:[1:2];19:[1:4];23:[1:7];29:[1:3];31:[1:10];37:[1:14];41:[1:8];43:[1:2];47:[1:9];53:[1:9];59:[1:9];61:[1:0];67:[1:15];71:[1:0];73:[1:15];79:[1:3];83:[1:1];89:[1:12];97:[1:3];101:[1:6],1,1
17,51,60,51.60.a.a,-20,1,21,-8,1,2:[1:10];5:[1:9];7:[1:9];11:[1:8];13:[1:2];19:[1:4];23:[1:7];29:[1:3];31:[1:10];37:[1:14];41:[1:8];43:[1:2];47:[1:9];53:[1:9];59:[1:9];61:[1:0];67:[1:15];71:[1:0];73:[1:15];79:[1:3];83:[1:1];89:[1:12];97:[1:3];101:[1:6],1,1
17,51,60,51.60.a.a,-13,1,14,-8,1,2:[1:10];5:[1:9];7:[1:9];11:[1:8];13:[1:2];19:[1:4];23:[1:7];29:[1:3];31:[1:10];37:[1:14];41:[1:8];43:[1:2];47:[1:9];53:[1:9];59:[1:9];61:[1:0];67:[1:15];71:[1:0];73:[1:15];79:[1:3];83:[1:1];89:[1:12];97:[1:3];101:[1:6],1,1
17,51,60,51.60.a.a,-10,0,10,-8,1,2:[1:14];5:[1:15];7:[1:1];11:[1:15];13:[1:15];19:[1:11];23:[1:16];29:[1:16];31:[1:4];37:[1:11];41:[1:6];43:[1:10];47:[1:7];53:[1:11];59:[1:9];61:[1:2];67:[1:1];71:[1:14];73:[1:7];79:[1:16];83:[1:16];89:[1:2];97:[1:2];101:[1:4],1,1
17,51,60,51.60.a.a,-22,0,22,-8,1,2:[1:14];5:[1:15];7:[1:1];11:[1:15];13:[1:15];19:[1:11];23:[1:16];29:[1:16];31:[1:4];37:[1:11];41:[1:6];43:[1:10];47:[1:7];53:[1:11];59:[1:9];61:[1:2];67:[1:1];71:[1:14];73:[1:7];79:[1:16];83:[1:16];89:[1:2];97:[1:2];101:[1:4],1,1
17,51,60,51.60.a.a,-6,0,6,-8,1,2:[1:14];5:[1:15];7:[1:1];11:[1:15];13:[1:15];19:[1:11];23:[1:16];29:[1:16];31:[1:4];37:[1:11];41:[1:6];43:[1:10];47:[1:7];53:[1:11];59:[1:9];61:[1:2];67:[1:1];71:[1:14];73:[1:7];79:[1:16];83:[1:16];89:[1:2];97:[1:2];101:[1:4],1,1
17,51,60,51.60.a.a,-20,1,21,-8,1,2:[1:15];5:[1:0];7:[1:7];11:[1:6];13:[1:8];19:[1:8];23:[1:6];29:[1:0];31:[1:14];37:[1:11];41:[1:14];43:[1:2];47:[1:2];53:[1:5];59:[1:11];61:[1:3];67:[1:12];71:[1:8];73:[1:0];79:[1:11];83:[1:7];89:[1:6];97:[1:3];101:[1:11],1,1
17,51,60,51.60.a.a,-3,1,4,-8,1,2:[1:15];5:[1:0];7:[1:7];11:[1:6];13:[1:8];19:[1:8];23:[1:6];29:[1:0];31:[1:14];37:[1:11];41:[1:14];43:[1:2];47:[1:2];53:[1:5];59:[1:11];61:[1:3];67:[1:12];71:[1:8];73:[1:0];79:[1:11];83:[1:7];89:[1:6];97:[1:3];101:[1:11],1,1
17,51,60,51.60.a.a,-13,0,13,-8,1,2:[1:15];5:[1:0];7:[1:7];11:[1:6];13:[1:8];19:[1:8];23:[1:6];29:[1:0];31:[1:14];37:[1:11];41:[1:14];43:[1:2];47:[1:2];53:[1:5];59:[1:11];61:[1:3];67:[1:12];71:[1:8];73:[1:0];79:[1:11];83:[1:7];89:[1:6];97:[1:3];101:[1:11],1,1
17,51,60,51.60.a.a,-16,2,18,-8,1,2:[1:16];5:[1:4];7:[1:0];11:[1:12];13:[1:10];19:[1:3];23:[1:11];29:[1:0];31:[1:5];37:[1:12];41:[1:9];43:[1:12];47:[1:6];53:[1:8];59:[1:7];61:[1:13];67:[1:4];71:[1:10];73:[1:12];79:[1:13];83:[1:10];89:[1:5];97:[1:13];101:[1:15],1,1
17,51,60,51.60.a.a,-24,1,25,-8,1,2:[1:16];5:[1:5];7:[1:8];11:[1:5];13:[1:14];19:[1:7];23:[1:12];29:[1:9];31:[1:3];37:[1:15];41:[1:14];43:[1:14];47:[1:12];53:[1:4];59:[1:4];61:[1:16];67:[1:14];71:[1:14];73:[1:13];79:[1:2];83:[1:15];89:[1:3];97:[1:1];101:[1:3],1,1
17,51,60,51.60.a.a,-8,1,9,-8,1,2:[1:16];5:[1:5];7:[1:8];11:[1:5];13:[1:14];19:[1:7];23:[1:12];29:[1:9];31:[1:3];37:[1:15];41:[1:14];43:[1:14];47:[1:12];53:[1:4];59:[1:4];61:[1:16];67:[1:14];71:[1:14];73:[1:13];79:[1:2];83:[1:15];89:[1:3];97:[1:1];101:[1:3],1,2
17,51,60,51.60.a.a,-24,1,25,-8,1,2:[1:16];5:[1:5];7:[1:8];11:[1:5];13:[1:14];19:[1:7];23:[1:12];29:[1:9];31:[1:3];37:[1:15];41:[1:14];43:[1:14];47:[1:12];53:[1:4];59:[1:4];61:[1:16];67:[1:14];71:[1:14];73:[1:13];79:[1:2];83:[1:15];89:[1:3];97:[1:1];101:[1:3],1,1
17,51,60,51.60.a.a,-16,2,18,-8,1,2:[1:16];5:[1:4];7:[1:0];11:[1:12];13:[1:10];19:[1:3];23:[1:11];29:[1:0];31:[1:5];37:[1:12];41:[1:9];43:[1:12];47:[1:6];53:[1:8];59:[1:7];61:[1:13];67:[1:4];71:[1:10];73:[1:12];79:[1:13];83:[1:10];89:[1:5];97:[1:13];101:[1:15],1,1
17,51,60,51.60.a.a,-1,1,2,-8,1,2:[1:10:2];5:[1:10:3];7:[1:14:9];11:[1:4:11];13:[1:7:5];19:[1:10:11];23:[1:2:8];29:[1:11:14];31:[1:1:16];37:[1:12:9];41:[1:12:13];43:[1:11:14];47:[1:0:6];53:[1:7:1];59:[1:2:11];61:[1:6:14];67:[1:4:9];71:[1:14:1];73:[1:8:6];79:[1:0:5];83:[1:14:1];89:[1:16:10];97:[1:12:5];101:[1:4:14],1,2
17,51,60,51.60.a.a,-15,1,16,-8,1,2:[1:10:2];5:[1:10:3];7:[1:14:9];11:[1:4:11];13:[1:7:5];19:[1:10:11];23:[1:2:8];29:[1:11:14];31:[1:1:16];37:[1:12:9];41:[1:12:13];43:[1:11:14];47:[1:0:6];53:[1:7:1];59:[1:2:11];61:[1:6:14];67:[1:4:9];71:[1:14:1];73:[1:8:6];79:[1:0:5];83:[1:14:1];89:[1:16:10];97:[1:12:5];101:[1:4:14],1,2
17,51,60,51.60.a.a,-17,1,18,-8,1,2:[1:10:2];5:[1:10:3];7:[1:14:9];11:[1:4:11];13:[1:7:5];19:[1:10:11];23:[1:2:8];29:[1:11:14];31:[1:1:16];37:[1:12:9];41:[1:12:13];43:[1:11:14];47:[1:0:6];53:[1:7:1];59:[1:2:11];61:[1:6:14];67:[1:4:9];71:[1:14:1];73:[1:8:6];79:[1:0:5];83:[1:14:1];89:[1:16:10];97:[1:12:5];101:[1:4:14],1,2
3,51,60,51.60.a.b,-13,4,17,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-9,4,13,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-17,1,18,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-6,2,8,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-11,3,14,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-17,0,17,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-5,0,5,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-6,1,7,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-11,3,14,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-11,3,14,-8,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,60,51.60.a.b,-2,-1,1,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
3,51,60,51.60.a.b,-3,-2,1,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
3,51,60,51.60.a.b,-25/2,1,27/2,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],2,1
3,51,60,51.60.a.b,-19/2,1,21/2,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],2,1
3,51,60,51.60.a.b,-31/2,-1,29/2,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],2,1
3,51,60,51.60.a.b,-15/2,0,15/2,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],2,1
3,51,60,51.60.a.b,-11,2,13,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
3,51,60,51.60.a.b,-19,0,19,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
3,51,60,51.60.a.b,-11/2,1,13/2,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],2,1
3,51,60,51.60.a.b,-11,2,13,-8,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
3,51,60,51.60.a.b,-5,3,8,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,60,51.60.a.b,-11,4,15,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,60,51.60.a.b,-9,2,11,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,60,51.60.a.b,-13,2,15,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,60,51.60.a.b,-3,-1,2,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,60,51.60.a.b,-8,1,9,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,60,51.60.a.b,-15,0,15,-8,1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,60,51.60.a.b,-16,2,18,-7,-1,2:[1:0];5:[1:8];7:[1:7];11:[1:4];13:[1:13];19:[1:15];23:[1:12];29:[1:1];31:[1:7];37:[1:14];41:[1:1];43:[1:5];47:[1:10];53:[1:5];59:[1:14];61:[1:14];67:[1:13];71:[1:9];73:[1:11];79:[1:2];83:[1:12];89:[1:0];97:[1:3];101:[1:0],1,1
17,51,60,51.60.a.b,-24,3,27,-7,-1,2:[1:1];5:[1:11];7:[1:15];11:[1:3];13:[1:9];19:[1:5];23:[1:4];29:[1:8];31:[1:8];37:[1:7];41:[1:7];43:[1:10];47:[1:16];53:[1:15];59:[1:12];61:[1:11];67:[1:12];71:[1:13];73:[1:16];79:[1:4];83:[1:0];89:[1:11];97:[1:12];101:[1:7],1,2
17,51,60,51.60.a.b,-8,3,11,-7,-1,2:[1:1];5:[1:11];7:[1:15];11:[1:3];13:[1:9];19:[1:5];23:[1:4];29:[1:8];31:[1:8];37:[1:7];41:[1:7];43:[1:10];47:[1:16];53:[1:15];59:[1:12];61:[1:11];67:[1:12];71:[1:13];73:[1:16];79:[1:4];83:[1:0];89:[1:11];97:[1:12];101:[1:7],1,2
17,51,60,51.60.a.b,-13,0,13,-7,-1,2:[1:4];5:[1:8];7:[1:12];11:[1:16];13:[1:13];19:[1:7];23:[1:7];29:[1:1];31:[1:16];37:[1:10];41:[1:4];43:[1:9];47:[1:9];53:[1:12];59:[1:0];61:[1:8];67:[1:5];71:[1:0];73:[1:1];79:[1:6];83:[1:5];89:[1:6];97:[1:10];101:[1:12],1,1
17,51,60,51.60.a.b,-20,1,21,-7,-1,2:[1:4];5:[1:8];7:[1:12];11:[1:16];13:[1:13];19:[1:7];23:[1:7];29:[1:1];31:[1:16];37:[1:10];41:[1:4];43:[1:9];47:[1:9];53:[1:12];59:[1:0];61:[1:8];67:[1:5];71:[1:0];73:[1:1];79:[1:6];83:[1:5];89:[1:6];97:[1:10];101:[1:12],1,1
17,51,60,51.60.a.b,-3,1,4,-7,-1,2:[1:4];5:[1:8];7:[1:12];11:[1:16];13:[1:13];19:[1:7];23:[1:7];29:[1:1];31:[1:16];37:[1:10];41:[1:4];43:[1:9];47:[1:9];53:[1:12];59:[1:0];61:[1:8];67:[1:5];71:[1:0];73:[1:1];79:[1:6];83:[1:5];89:[1:6];97:[1:10];101:[1:12],1,1
17,51,60,51.60.a.b,-15,1,16,-7,-1,2:[1:6];5:[1:7];7:[1:8];11:[1:11];13:[1:3];19:[1:16];23:[1:10];29:[1:7];31:[1:2];37:[1:15];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:12];67:[1:16];71:[1:14];73:[1:6];79:[1:11];83:[1:12];89:[1:0];97:[1:1];101:[1:3],1,1
17,51,60,51.60.a.b,-16,1,17,-7,-1,2:[1:6];5:[1:16];7:[1:3];11:[1:1];13:[1:5];19:[1:6];23:[1:15];29:[1:5];31:[1:10];37:[1:3];41:[1:3];43:[1:5];47:[1:5];53:[1:6];59:[1:4];61:[1:15];67:[1:0];71:[1:3];73:[1:16];79:[1:1];83:[1:2];89:[1:14];97:[1:5];101:[1:0],1,1
17,51,60,51.60.a.b,-17,1,18,-7,-1,2:[1:6];5:[1:7];7:[1:8];11:[1:11];13:[1:3];19:[1:16];23:[1:10];29:[1:7];31:[1:2];37:[1:15];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:12];67:[1:16];71:[1:14];73:[1:6];79:[1:11];83:[1:12];89:[1:0];97:[1:1];101:[1:3],1,1
17,51,60,51.60.a.b,-1,1,2,-7,-1,2:[1:6];5:[1:7];7:[1:8];11:[1:11];13:[1:3];19:[1:16];23:[1:10];29:[1:7];31:[1:2];37:[1:15];41:[1:0];43:[1:3];47:[1:9];53:[1:10];59:[1:1];61:[1:12];67:[1:16];71:[1:14];73:[1:6];79:[1:11];83:[1:12];89:[1:0];97:[1:1];101:[1:3],1,1
17,51,60,51.60.a.b,-2,1,3,-7,-1,2:[1:7];5:[1:15];7:[1:16];11:[1:4];13:[1:10];19:[1:11];23:[1:16];29:[1:14];31:[1:11];37:[1:4];41:[1:2];43:[1:10];47:[1:12];53:[1:5];59:[1:14];61:[1:14];67:[1:1];71:[1:2];73:[1:2];79:[1:1];83:[1:2];89:[1:12];97:[1:6];101:[1:1],1,1
17,51,60,51.60.a.b,-14,1,15,-7,-1,2:[1:7];5:[1:15];7:[1:16];11:[1:4];13:[1:10];19:[1:11];23:[1:16];29:[1:14];31:[1:11];37:[1:4];41:[1:2];43:[1:10];47:[1:12];53:[1:5];59:[1:14];61:[1:14];67:[1:1];71:[1:2];73:[1:2];79:[1:1];83:[1:2];89:[1:12];97:[1:6];101:[1:1],1,1
17,51,60,51.60.a.b,-18,1,19,-7,-1,2:[1:7];5:[1:15];7:[1:16];11:[1:4];13:[1:10];19:[1:11];23:[1:16];29:[1:14];31:[1:11];37:[1:4];41:[1:2];43:[1:10];47:[1:12];53:[1:5];59:[1:14];61:[1:14];67:[1:1];71:[1:2];73:[1:2];79:[1:1];83:[1:2];89:[1:12];97:[1:6];101:[1:1],1,1
17,51,60,51.60.a.b,-21,1,22,-7,-1,2:[1:10];5:[1:8];7:[1:8];11:[1:9];13:[1:2];19:[1:4];23:[1:10];29:[1:14];31:[1:7];37:[1:3];41:[1:9];43:[1:2];47:[1:9];53:[1:9];59:[1:9];61:[1:0];67:[1:15];71:[1:0];73:[1:2];79:[1:14];83:[1:1];89:[1:12];97:[1:14];101:[1:6],1,1
17,51,60,51.60.a.b,-5,0,5,-7,-1,2:[1:10];5:[1:8];7:[1:8];11:[1:9];13:[1:2];19:[1:4];23:[1:10];29:[1:14];31:[1:7];37:[1:3];41:[1:9];43:[1:2];47:[1:9];53:[1:9];59:[1:9];61:[1:0];67:[1:15];71:[1:0];73:[1:2];79:[1:14];83:[1:1];89:[1:12];97:[1:14];101:[1:6],1,1
