p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,51,6,51.6.a.b,0,1,1,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,6,51.6.a.b,0,1,1,37,-1,2:[1:15];5:[1:16];7:[1:5];11:[1:4];13:[1:15];19:[1:7];23:[1:6];29:[1:10];31:[1:6];37:[1:16];41:[1:8];43:[1:12];47:[1:4];53:[1:4];59:[1:6];61:[1:2];67:[1:5];71:[1:3];73:[1:14];79:[1:11];83:[1:0];89:[1:10];97:[1:15];101:[1:10],1,1
17,51,6,51.6.a.b,-1,1,2,37,-1,2:[1:14:8];5:[1:4:10];7:[1:1:1];11:[1:6:12];13:[1:6:12];19:[1:14:10];23:[1:14:1];29:[1:16:7];31:[1:12:9];37:[1:9:4];41:[1:13:9];43:[1:3:12];47:[1:0:11];53:[1:3:4];59:[1:1:7];61:[1:2:11];67:[1:13:9];71:[1:2:8];73:[1:10:3];79:[1:0:7];83:[1:11:4];89:[1:13:7];97:[1:2:11];101:[1:13:14],1,2
3,51,6,51.6.a.c,1,1,0,1,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,6,51.6.a.c,-3,0,3,1,1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,6,51.6.a.c,-1,0,1,1,1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,6,51.6.a.c,0,0,0,5,-1,2:[1:0];5:[1:10];7:[1:9];11:[1:6];13:[1:16];19:[1:4];23:[1:16];29:[1:3];31:[1:16];37:[1:2];41:[1:11];43:[1:6];47:[1:11];53:[1:7];59:[1:7];61:[1:16];67:[1:4];71:[1:11];73:[1:1];79:[1:3];83:[1:7];89:[1:0];97:[1:9];101:[1:0],1,1
17,51,6,51.6.a.c,0,1,1,5,-1,2:[1:2];5:[1:15];7:[1:14];11:[1:1];13:[1:12];19:[1:3];23:[1:1];29:[1:7];31:[1:15];37:[1:10];41:[1:16];43:[1:10];47:[1:3];53:[1:9];59:[1:2];61:[1:6];67:[1:3];71:[1:15];73:[1:5];79:[1:14];83:[1:13];89:[1:12];97:[1:14];101:[1:14],1,1
17,51,6,51.6.a.c,-1,1,2,5,-1,2:[1:5];5:[1:13];7:[1:3];11:[1:8];13:[1:5];19:[1:2];23:[1:2];29:[1:4];31:[1:7];37:[1:7];41:[1:0];43:[1:7];47:[1:15];53:[1:14];59:[1:9];61:[1:4];67:[1:1];71:[1:2];73:[1:16];79:[1:8];83:[1:7];89:[1:0];97:[1:3];101:[1:14],1,1
17,51,6,51.6.a.c,0,1,1,5,-1,2:[1:5];5:[1:3];7:[1:16];11:[1:10];13:[1:14];19:[1:5];23:[1:3];29:[1:15];31:[1:1];37:[1:15];41:[1:16];43:[1:6];47:[1:14];53:[1:5];59:[1:2];61:[1:5];67:[1:0];71:[1:15];73:[1:3];79:[1:10];83:[1:4];89:[1:5];97:[1:15];101:[1:0],1,1
3,51,6,51.6.a.d,-1,0,1,41,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,6,51.6.a.d,-1,0,1,41,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,6,51.6.a.d,-1,1,2,41,-1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
3,51,6,51.6.a.d,1,1,0,41,-1,2:[1:1:2];5:[1:0:1];7:[1:0];11:[1:1:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:2:2];53:[1:1:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:2:2];73:[1:2:2];79:[1:0];83:[1:1:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,6,51.6.a.d,0,0,0,1,1,2:[1:2];5:[1:5];7:[1:0];11:[1:1];13:[1:11];19:[1:11];23:[1:9];29:[1:0];31:[1:9];37:[1:9];41:[1:14];43:[1:11];47:[1:10];53:[1:1];59:[1:12];61:[1:10];67:[1:13];71:[1:16];73:[1:15];79:[1:11];83:[1:3];89:[1:3];97:[1:5];101:[1:2],2,1
17,51,6,51.6.a.d,0,1,1,1,1,2:[1:15];5:[1:16];7:[1:5];11:[1:4];13:[1:15];19:[1:7];23:[1:6];29:[1:10];31:[1:6];37:[1:16];41:[1:8];43:[1:12];47:[1:4];53:[1:4];59:[1:6];61:[1:2];67:[1:5];71:[1:3];73:[1:14];79:[1:11];83:[1:0];89:[1:10];97:[1:15];101:[1:10],1,1
