p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,3,6,3.6.a.a,1,1,0,1,1,2:[1:0],1,1
3,3,26,3.26.a.a,-7,3,10,5,-1,2:[1:0],1,1
3,3,26,3.26.a.a,-5,2,7,5,-1,2:[1:0],1,1
3,3,26,3.26.a.b,-7,-1,6,1,1,2:[1:0],1,1
3,3,26,3.26.a.b,-2,-2,0,1,1,2:[1:0],1,1
3,3,26,3.26.a.b,-5,0,5,1,1,2:[1:0],1,1
3,3,46,3.46.a.b,-7,0,7,1,1,2:[1:0],1,1
3,3,46,3.46.a.b,-11,-2,9,1,1,2:[1:0],1,2
3,3,46,3.46.a.b,-2,0,2,1,1,2:[1:0],1,1
3,3,46,3.46.a.a,-7,2,9,5,-1,2:[1:0],1,1
3,3,46,3.46.a.a,-11,0,11,5,-1,2:[1:0],1,2
3,3,46,3.46.a.a,-2,2,4,5,-1,2:[1:0],1,1
3,3,8,3.8.a.a,-1,2,3,-4,-1,2:[1:0],1,1
3,3,28,3.28.a.a,-6,4,10,-8,1,2:[1:0],1,1
3,3,28,3.28.a.a,-2,4,6,-8,1,2:[1:0],1,1
3,3,28,3.28.a.b,-6,2,8,-4,-1,2:[1:0],1,1
3,3,28,3.28.a.b,-1,3,4,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.a,-11,3,14,-8,1,2:[1:0],1,1
3,3,48,3.48.a.a,-6,5,11,-8,1,2:[1:0],1,1
3,3,48,3.48.a.a,-8,4,12,-8,1,2:[1:0],1,1
3,3,66,3.66.a.a,-8,3,11,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-15,2,17,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-11,3,14,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-6,0,6,5,-1,2:[1:0],1,1
3,3,66,3.66.a.a,-17,0,17,5,-1,2:[1:0],1,1
3,3,48,3.48.a.b,-11,1,12,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.b,-6,3,9,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.b,0,2,2,-4,-1,2:[1:0],1,1
3,3,48,3.48.a.b,-8,0,8,-4,-1,2:[1:0],1,1
3,3,66,3.66.a.b,-8,-1,7,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-15,-2,13,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-11,1,12,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-6,-2,4,1,1,2:[1:0],1,1
3,3,66,3.66.a.b,-17,-2,15,1,1,2:[1:0],1,1
3,3,10,3.10.a.b,-2,0,2,1,1,2:[1:0],1,1
3,3,10,3.10.a.a,-2,2,4,5,-1,2:[1:0],1,1
3,3,30,3.30.a.a,-7,3,10,5,-1,2:[1:0],1,1
3,3,30,3.30.a.a,-5,0,5,5,-1,2:[1:0],1,1
3,3,30,3.30.a.b,-7,-1,6,1,1,2:[1:0],1,1
3,3,30,3.30.a.b,-2,-2,0,1,1,2:[1:0],1,1
3,3,30,3.30.a.b,-5,-2,3,1,1,2:[1:0],1,1
3,3,50,3.50.a.a,-13,2,15,5,-1,2:[1:0],1,1
3,3,50,3.50.a.a,-9,2,11,5,-1,2:[1:0],1,1
3,3,50,3.50.a.a,-11,1,12,5,-1,2:[1:0],1,1
3,3,50,3.50.a.a,-5,2,7,5,-1,2:[1:0],1,1
3,3,50,3.50.a.b,-1,-1,0,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-13,-2,11,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-9,-2,7,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-11,-1,10,1,1,2:[1:0],1,1
3,3,50,3.50.a.b,-5,0,5,1,1,2:[1:0],1,1
3,3,12,3.12.a.a,-1,1,2,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.a,-4,4,8,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-18,3,21,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-11,6,17,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-14,5,19,-8,1,2:[1:0],1,1
3,3,68,3.68.a.a,-9,6,15,-8,1,2:[1:0],1,1
3,3,32,3.32.a.a,-4,4,8,-8,1,2:[1:0],1,1
3,3,32,3.32.a.a,-9,6,15,-8,1,2:[1:0],1,1
3,3,32,3.32.a.b,-4,2,6,-4,-1,2:[1:0],1,1
3,3,32,3.32.a.b,-2,1,3,-4,-1,2:[1:0],1,1
3,3,32,3.32.a.b,-9,2,11,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-4,2,6,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-18,1,19,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-11,4,15,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-14,1,15,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-9,2,11,-4,-1,2:[1:0],1,1
3,3,68,3.68.a.b,-3,0,3,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.b,-7,3,10,-8,1,2:[1:0],1,1
3,3,52,3.52.a.b,-4,4,8,-8,1,2:[1:0],1,1
3,3,52,3.52.a.b,-12,3,15,-8,1,2:[1:0],1,1
3,3,52,3.52.a.b,-10,3,13,-8,1,2:[1:0],1,1
3,3,52,3.52.a.a,-7,1,8,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.a,-4,2,6,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.a,-12,1,13,-4,-1,2:[1:0],1,1
3,3,52,3.52.a.a,-10,1,11,-4,-1,2:[1:0],1,1
3,3,14,3.14.a.a,-4,2,6,5,-1,2:[1:0],1,1
3,3,14,3.14.a.b,0,0,0,1,1,2:[1:0],1,1
3,3,14,3.14.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,34,3.34.a.a,-6,-1,5,1,1,2:[1:0],1,1
3,3,34,3.34.a.a,-10,0,10,1,1,2:[1:0],1,1
3,3,34,3.34.a.a,-3,-1,2,1,1,2:[1:0],1,1
3,3,70,3.70.a.a,-16,0,16,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-7,0,7,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-13,1,14,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-10,2,12,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-3,1,4,5,-1,2:[1:0],1,1
3,3,70,3.70.a.a,-19,0,19,5,-1,2:[1:0],1,1
3,3,34,3.34.a.b,-6,1,7,5,-1,2:[1:0],1,1
3,3,34,3.34.a.b,-10,2,12,5,-1,2:[1:0],1,1
3,3,34,3.34.a.b,-3,1,4,5,-1,2:[1:0],1,1
3,3,70,3.70.a.b,-16,-2,14,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-7,-2,5,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-13,-1,12,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-10,0,10,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-2,0,2,1,1,2:[1:0],1,1
3,3,70,3.70.a.b,-19,-2,17,1,1,2:[1:0],1,1
3,3,54,3.54.a.a,-13,2,15,5,-1,2:[1:0],1,1
3,3,54,3.54.a.a,-9,2,11,5,-1,2:[1:0],1,1
3,3,54,3.54.a.a,-5,0,5,5,-1,2:[1:0],1,1
3,3,54,3.54.a.a,-11,0,11,5,-1,2:[1:0],1,1
3,3,54,3.54.a.b,-13,-2,11,1,1,2:[1:0],1,1
3,3,54,3.54.a.b,-9,-2,7,1,1,2:[1:0],1,1
3,3,54,3.54.a.b,-1,-1,0,1,1,2:[1:0],1,1
3,3,54,3.54.a.b,-5,-2,3,1,1,2:[1:0],1,1
3,3,54,3.54.a.b,-11,-2,9,1,1,2:[1:0],1,1
3,3,16,3.16.a.b,-3,4,7,-8,1,2:[1:0],1,1
3,3,16,3.16.a.a,-3,2,5,-4,-1,2:[1:0],1,1
3,3,36,3.36.a.a,-4,4,8,-8,1,2:[1:0],1,1
3,3,36,3.36.a.a,-9,4,13,-8,1,2:[1:0],1,1
3,3,36,3.36.a.b,-4,2,6,-4,-1,2:[1:0],1,1
3,3,36,3.36.a.b,-2,0,2,-4,-1,2:[1:0],1,1
3,3,36,3.36.a.b,-9,0,9,-4,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-14,1,15,5,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-9,1,10,5,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-20,4,24,5,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-12,0,12,5,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-24,2,26,5,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-18,2,20,5,-1,2:[1:0],1,1
3,3,86,3.86.a.a,-4,2,6,5,-1,2:[1:0],1,1
3,3,86,3.86.a.b,-14,-3,11,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-9,-3,6,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-20,-2,18,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-12,-2,10,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-24,0,24,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-18,0,18,1,1,2:[1:0],1,1
3,3,86,3.86.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,88,3.88.a.b,-16,1,17,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.b,-6,2,8,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.b,-19,2,21,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.b,-3,2,5,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.b,-23,2,25,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.b,-13,0,13,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.b,-10,0,10,-4,-1,2:[1:0],1,1
3,3,72,3.72.a.a,-11,6,17,-8,1,2:[1:0],1,1
3,3,72,3.72.a.a,-18,3,21,-8,1,2:[1:0],1,1
3,3,72,3.72.a.a,-4,4,8,-8,1,2:[1:0],1,1
3,3,72,3.72.a.a,-9,4,13,-8,1,2:[1:0],1,1
3,3,72,3.72.a.a,-14,4,18,-8,1,2:[1:0],1,1
3,3,56,3.56.a.a,-5,5,10,-8,1,2:[1:0],1,1
3,3,56,3.56.a.a,-11,6,17,-8,1,2:[1:0],1,1
3,3,56,3.56.a.a,-9,7,16,-8,1,2:[1:0],1,1
3,3,56,3.56.a.a,-13,7,20,-8,1,2:[1:0],1,1
3,3,18,3.18.a.a,-4,1,5,5,-1,2:[1:0],1,1
3,3,18,3.18.a.b,0,0,0,1,1,2:[1:0],1,1
3,3,18,3.18.a.b,-4,-1,3,1,1,2:[1:0],1,1
3,3,56,3.56.a.b,-5,3,8,-4,-1,2:[1:0],1,1
3,3,56,3.56.a.b,-11,4,15,-4,-1,2:[1:0],1,1
3,3,56,3.56.a.b,-3,2,5,-4,-1,2:[1:0],1,1
3,3,56,3.56.a.b,-9,3,12,-4,-1,2:[1:0],1,1
3,3,56,3.56.a.b,-13,3,16,-4,-1,2:[1:0],1,1
3,3,38,3.38.a.a,-9,3,12,5,-1,2:[1:0],1,1
3,3,38,3.38.a.a,-4,3,7,5,-1,2:[1:0],1,1
3,3,38,3.38.a.a,-11,2,13,5,-1,2:[1:0],1,1
3,3,38,3.38.a.b,-9,-1,8,1,1,2:[1:0],1,1
3,3,38,3.38.a.b,-1,-1,0,1,1,2:[1:0],1,1
3,3,38,3.38.a.b,-4,1,5,1,1,2:[1:0],1,1
3,3,38,3.38.a.b,-11,0,11,1,1,2:[1:0],1,1
3,3,72,3.72.a.b,-11,4,15,-4,-1,2:[1:0],1,1
3,3,72,3.72.a.b,-18,1,19,-4,-1,2:[1:0],1,1
3,3,72,3.72.a.b,-4,2,6,-4,-1,2:[1:0],1,1
3,3,72,3.72.a.b,-3,-1,2,-4,-1,2:[1:0],1,1
3,3,72,3.72.a.b,-9,0,9,-4,-1,2:[1:0],1,1
3,3,72,3.72.a.b,-14,0,14,-4,-1,2:[1:0],1,1
3,3,74,3.74.a.a,-20,4,24,5,-1,2:[1:0],1,1
3,3,74,3.74.a.a,-9,3,12,5,-1,2:[1:0],1,1
3,3,74,3.74.a.a,-14,3,17,5,-1,2:[1:0],1,1
3,3,74,3.74.a.a,-12,2,14,5,-1,2:[1:0],1,1
3,3,74,3.74.a.a,-4,3,7,5,-1,2:[1:0],1,1
3,3,74,3.74.a.a,-18,2,20,5,-1,2:[1:0],1,1
3,3,74,3.74.a.b,-20,-2,18,1,1,2:[1:0],1,1
3,3,74,3.74.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,74,3.74.a.b,-9,-1,8,1,1,2:[1:0],1,1
3,3,74,3.74.a.b,-14,-1,13,1,1,2:[1:0],1,1
3,3,74,3.74.a.b,-12,0,12,1,1,2:[1:0],1,1
3,3,74,3.74.a.b,-4,1,5,1,1,2:[1:0],1,1
3,3,74,3.74.a.b,-18,0,18,1,1,2:[1:0],1,1
3,3,20,3.20.a.a,-4,5,9,-8,1,2:[1:0],1,1
3,3,20,3.20.a.b,-4,3,7,-4,-1,2:[1:0],1,1
3,3,20,3.20.a.b,-2,2,4,-4,-1,2:[1:0],1,1
3,3,58,3.58.a.a,-16,1,17,5,-1,2:[1:0],1,1
3,3,58,3.58.a.a,-7,2,9,5,-1,2:[1:0],1,1
3,3,58,3.58.a.a,-12,3,15,5,-1,2:[1:0],1,1
3,3,58,3.58.a.a,-10,3,13,5,-1,2:[1:0],1,1
3,3,58,3.58.a.a,-4,2,6,5,-1,2:[1:0],1,1
3,3,40,3.40.a.b,-7,3,10,-4,-1,2:[1:0],1,1
3,3,40,3.40.a.b,-3,3,6,-4,-1,2:[1:0],1,1
3,3,40,3.40.a.b,-10,2,12,-4,-1,2:[1:0],1,1
3,3,58,3.58.a.b,-16,-1,15,1,1,2:[1:0],1,1
3,3,58,3.58.a.b,-7,0,7,1,1,2:[1:0],1,1
3,3,58,3.58.a.b,-12,1,13,1,1,2:[1:0],1,1
3,3,58,3.58.a.b,-10,1,11,1,1,2:[1:0],1,1
3,3,58,3.58.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,40,3.40.a.a,-7,5,12,-8,1,2:[1:0],1,1
3,3,40,3.40.a.a,-3,5,8,-8,1,2:[1:0],1,1
3,3,40,3.40.a.a,-10,4,14,-8,1,2:[1:0],1,1
3,3,22,3.22.a.b,-6,1,7,5,-1,2:[1:0],1,1
3,3,22,3.22.a.a,-3,2,5,5,-1,2:[1:0],1,1
3,3,22,3.22.a.c,-6,-1,5,1,1,2:[1:0],1,1
3,3,22,3.22.a.c,-3,0,3,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-16,-2,14,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-7,-2,5,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-26,-1,25,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-13,-1,12,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-10,-1,9,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-2,1,3,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-19,-1,18,1,1,2:[1:0],1,1
3,3,94,3.94.a.b,-23,0,23,1,1,2:[1:0],1,1
3,3,60,3.60.a.a,-11,6,17,-8,1,2:[1:0],1,1
3,3,60,3.60.a.a,-5,5,10,-8,1,2:[1:0],1,1
3,3,60,3.60.a.a,-9,6,15,-8,1,2:[1:0],1,1
3,3,60,3.60.a.a,-13,6,19,-8,1,2:[1:0],1,1
3,3,42,3.42.a.a,-9,3,12,5,-1,2:[1:0],1,1
3,3,42,3.42.a.a,-4,2,6,5,-1,2:[1:0],1,1
3,3,42,3.42.a.a,-11,0,11,5,-1,2:[1:0],1,1
3,3,42,3.42.a.b,-9,-1,8,1,1,2:[1:0],1,1
3,3,42,3.42.a.b,-1,-1,0,1,1,2:[1:0],1,1
3,3,42,3.42.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,42,3.42.a.b,-11,-2,9,1,1,2:[1:0],1,1
3,3,60,3.60.a.b,-11,4,15,-4,-1,2:[1:0],1,1
3,3,60,3.60.a.b,-5,3,8,-4,-1,2:[1:0],1,1
3,3,60,3.60.a.b,-3,-1,2,-4,-1,2:[1:0],1,1
3,3,60,3.60.a.b,-9,2,11,-4,-1,2:[1:0],1,1
3,3,60,3.60.a.b,-13,2,15,-4,-1,2:[1:0],1,1
3,3,76,3.76.a.a,-16,4,20,-8,1,2:[1:0],1,1
3,3,76,3.76.a.a,-6,5,11,-8,1,2:[1:0],1,1
3,3,76,3.76.a.a,-19,4,23,-8,1,2:[1:0],1,1
3,3,76,3.76.a.a,-2,6,8,-8,1,2:[1:0],1,1
3,3,76,3.76.a.a,-13,4,17,-8,1,2:[1:0],1,1
3,3,76,3.76.a.a,-10,4,14,-8,1,2:[1:0],1,1
3,3,90,3.90.a.a,-14,1,15,5,-1,2:[1:0],1,1
3,3,90,3.90.a.a,-9,1,10,5,-1,2:[1:0],1,1
3,3,90,3.90.a.a,-20,4,24,5,-1,2:[1:0],1,1
3,3,90,3.90.a.a,-12,-1,11,5,-1,2:[1:0],1,1
3,3,90,3.90.a.a,-24,1,25,5,-1,2:[1:0],1,1
3,3,90,3.90.a.a,-18,0,18,5,-1,2:[1:0],1,1
3,3,90,3.90.a.a,-4,1,5,5,-1,2:[1:0],1,1
3,3,24,3.24.a.a,-4,5,9,-8,1,2:[1:0],1,1
3,3,24,3.24.a.b,-4,3,7,-4,-1,2:[1:0],1,1
3,3,24,3.24.a.b,-2,0,2,-4,-1,2:[1:0],1,1
3,3,90,3.90.a.b,-14,-3,11,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-9,-3,6,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-20,-2,18,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-12,-3,9,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-24,-1,23,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-18,-2,16,1,1,2:[1:0],1,1
3,3,90,3.90.a.b,-4,-1,3,1,1,2:[1:0],1,1
3,3,44,3.44.a.a,-6,5,11,-8,1,2:[1:0],1,1
3,3,44,3.44.a.a,-11,3,14,-8,1,2:[1:0],1,1
3,3,44,3.44.a.a,-8,6,14,-8,1,2:[1:0],1,1
3,3,62,3.62.a.a,-8,3,11,5,-1,2:[1:0],1,1
3,3,62,3.62.a.a,-15,2,17,5,-1,2:[1:0],1,1
3,3,62,3.62.a.a,-11,4,15,5,-1,2:[1:0],1,1
3,3,62,3.62.a.a,-6,2,8,5,-1,2:[1:0],1,1
3,3,62,3.62.a.a,-17,1,18,5,-1,2:[1:0],1,1
3,3,44,3.44.a.b,-6,3,9,-4,-1,2:[1:0],1,1
3,3,44,3.44.a.b,-11,1,12,-4,-1,2:[1:0],1,1
3,3,44,3.44.a.b,0,3,3,-4,-1,2:[1:0],1,1
3,3,44,3.44.a.b,-8,2,10,-4,-1,2:[1:0],1,1
3,3,62,3.62.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,62,3.62.a.b,-8,-1,7,1,1,2:[1:0],1,1
3,3,62,3.62.a.b,-15,-2,13,1,1,2:[1:0],1,1
3,3,62,3.62.a.b,-11,2,13,1,1,2:[1:0],1,1
3,3,62,3.62.a.b,-6,0,6,1,1,2:[1:0],1,1
3,3,62,3.62.a.b,-17,-1,16,1,1,2:[1:0],1,1
3,3,76,3.76.a.b,-16,2,18,-4,-1,2:[1:0],1,1
3,3,76,3.76.a.b,-6,3,9,-4,-1,2:[1:0],1,1
3,3,76,3.76.a.b,-19,2,21,-4,-1,2:[1:0],1,1
3,3,76,3.76.a.b,-3,3,6,-4,-1,2:[1:0],1,1
3,3,76,3.76.a.b,-13,2,15,-4,-1,2:[1:0],1,1
3,3,76,3.76.a.b,-10,2,12,-4,-1,2:[1:0],1,1
3,3,88,3.88.a.a,-16,3,19,-8,1,2:[1:0],1,1
3,3,88,3.88.a.a,-6,4,10,-8,1,2:[1:0],1,1
3,3,88,3.88.a.a,-19,4,23,-8,1,2:[1:0],1,1
3,3,88,3.88.a.a,-2,5,7,-8,1,2:[1:0],1,1
3,3,88,3.88.a.a,-23,4,27,-8,1,2:[1:0],1,1
3,3,88,3.88.a.a,-13,2,15,-8,1,2:[1:0],1,1
3,3,88,3.88.a.a,-10,2,12,-8,1,2:[1:0],1,1
3,3,78,3.78.a.a,-14,3,17,5,-1,2:[1:0],1,1
3,3,78,3.78.a.a,-9,3,12,5,-1,2:[1:0],1,1
3,3,78,3.78.a.a,-20,4,24,5,-1,2:[1:0],1,1
3,3,78,3.78.a.a,-12,-1,11,5,-1,2:[1:0],1,1
3,3,78,3.78.a.a,-18,1,19,5,-1,2:[1:0],1,1
3,3,78,3.78.a.a,-4,2,6,5,-1,2:[1:0],1,1
3,3,78,3.78.a.b,-14,-1,13,1,1,2:[1:0],1,1
3,3,78,3.78.a.b,-9,-1,8,1,1,2:[1:0],1,1
3,3,78,3.78.a.b,-20,-2,18,1,1,2:[1:0],1,1
3,3,78,3.78.a.b,-3,-3,0,1,1,2:[1:0],1,1
3,3,78,3.78.a.b,-12,-3,9,1,1,2:[1:0],1,1
3,3,78,3.78.a.b,-18,-1,17,1,1,2:[1:0],1,1
3,3,78,3.78.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,64,3.64.a.a,-16,1,17,-4,-1,2:[1:0],1,1
3,3,64,3.64.a.a,-7,2,9,-4,-1,2:[1:0],1,1
3,3,64,3.64.a.a,-3,1,4,-4,-1,2:[1:0],1,1
3,3,64,3.64.a.a,-11,4,15,-4,-1,2:[1:0],1,2
3,3,64,3.64.a.b,-16,3,19,-8,1,2:[1:0],1,1
3,3,64,3.64.a.b,-7,4,11,-8,1,2:[1:0],1,1
3,3,64,3.64.a.b,-3,3,6,-8,1,2:[1:0],1,1
3,3,64,3.64.a.b,-11,6,17,-8,1,2:[1:0],1,2
3,3,80,3.80.a.a,-17,5,22,-8,1,2:[1:0],1,1
3,3,80,3.80.a.a,-5,5,10,-8,1,2:[1:0],1,1
3,3,80,3.80.a.a,-12,2,14,-8,1,2:[1:0],1,1
3,3,80,3.80.a.a,-7,6,13,-8,1,2:[1:0],1,1
3,3,80,3.80.a.a,-15,6,21,-8,1,2:[1:0],1,1
3,3,80,3.80.a.a,-20,7,27,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-4,5,9,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-18,4,22,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-24,5,29,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-11,5,16,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-14,5,19,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-9,5,14,-8,1,2:[1:0],1,1
3,3,92,3.92.a.a,-22,8,30,-8,1,2:[1:0],1,1
3,3,82,3.82.a.b,-16,2,18,5,-1,2:[1:0],1,1
3,3,82,3.82.a.b,-6,2,8,5,-1,2:[1:0],1,1
3,3,82,3.82.a.b,-12,-1,11,5,-1,2:[1:0],1,2
3,3,82,3.82.a.b,-20,2,22,5,-1,2:[1:0],1,2
3,3,82,3.82.a.b,-3,1,4,5,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-17,3,20,-4,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-5,3,8,-4,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-12,0,12,-4,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-7,2,9,-4,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-15,2,17,-4,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-20,1,21,-4,-1,2:[1:0],1,1
3,3,80,3.80.a.b,-3,0,3,-4,-1,2:[1:0],1,1
3,3,82,3.82.a.a,-16,0,16,1,1,2:[1:0],1,1
3,3,82,3.82.a.a,-6,0,6,1,1,2:[1:0],1,1
3,3,82,3.82.a.a,-12,-3,9,1,1,2:[1:0],1,2
3,3,82,3.82.a.a,-20,0,20,1,1,2:[1:0],1,2
3,3,82,3.82.a.a,-3,-1,2,1,1,2:[1:0],1,1
3,3,94,3.94.a.a,-16,0,16,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-7,0,7,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-26,1,27,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-13,1,14,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-10,1,11,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-3,2,5,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-19,1,20,5,-1,2:[1:0],1,1
3,3,94,3.94.a.a,-23,2,25,5,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-4,3,7,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-18,2,20,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-24,3,27,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-11,3,14,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-14,1,15,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-9,1,10,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-3,1,4,-4,-1,2:[1:0],1,1
3,3,92,3.92.a.b,-22,2,24,-4,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-16,0,16,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-7,0,7,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-26,0,26,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-12,1,13,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-29,2,31,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-10,1,11,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-4,0,4,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-21,0,21,5,-1,2:[1:0],1,1
3,3,106,3.106.a.a,-23,0,23,5,-1,2:[1:0],1,1
3,3,106,3.106.a.b,-16,-2,14,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-7,-2,5,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-26,-2,24,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-12,-1,11,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-29,0,29,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-10,-1,9,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-4,-2,2,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-21,-2,19,1,1,2:[1:0],1,1
3,3,106,3.106.a.b,-23,-2,21,1,1,2:[1:0],1,1
3,3,96,3.96.a.a,-4,5,9,-8,1,2:[1:0],1,1
3,3,96,3.96.a.a,-18,4,22,-8,1,2:[1:0],1,1
3,3,96,3.96.a.a,-24,5,29,-8,1,2:[1:0],1,1
3,3,96,3.96.a.a,-11,5,16,-8,1,2:[1:0],1,1
3,3,96,3.96.a.a,-14,4,18,-8,1,2:[1:0],1,1
3,3,96,3.96.a.a,-9,4,13,-8,1,2:[1:0],1,1
3,3,96,3.96.a.a,-22,5,27,-8,1,2:[1:0],1,1
3,3,98,3.98.a.a,-15,2,17,5,-1,2:[1:0],1,1
3,3,98,3.98.a.a,-8,2,10,5,-1,2:[1:0],1,1
3,3,98,3.98.a.a,-27,3,30,5,-1,2:[1:0],1,1
