p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
5,8,45,45.8.a.h,1,1,0,1,1,2:[1:4];7:[1:1];11:[1:2];13:[1:2];17:[1:4];19:[1:0];23:[1:3],1,1
5,10,45,45.10.a.b,-8,-1,-2,1,3,2:[1:1];7:[1:0];11:[1:1];13:[1:3];17:[1:3];19:[1:1];23:[1:0],1,1
5,10,45,45.10.a.c,-4,1,-2,0,2,2:[1:2];7:[1:3];11:[1:2];13:[1:4];17:[1:2];19:[1:0];23:[1:1],1,1
5,10,45,45.10.a.a,-4,1,-2,0,2,2:[1:2];7:[1:3];11:[1:2];13:[1:4];17:[1:2];19:[1:0];23:[1:1],1,1
5,10,45,45.10.a.f,-8,-1,-2,0,2,2:[1:2];7:[1:3];11:[1:2];13:[1:4];17:[1:2];19:[1:0];23:[1:1],1,1
5,10,45,45.10.a.f,-8,-1,9999,9999,2,2:[1:3];7:[1:2];11:[1:2];13:[1:1];17:[1:3];19:[1:0];23:[1:4],1,1
5,10,45,45.10.a.e,-4,1,-2,1,3,2:[1:1];7:[1:0];11:[1:1];13:[1:3];17:[1:3];19:[1:1];23:[1:0],1,1
5,10,45,45.10.a.e,-4,1,-1,1,2,2:[1:3];7:[1:2];11:[1:2];13:[1:1];17:[1:3];19:[1:0];23:[1:4],1,1
5,10,45,45.10.a.d,-8,-1,-2,0,2,2:[1:2];7:[1:3];11:[1:2];13:[1:4];17:[1:2];19:[1:0];23:[1:1],1,1
5,10,45,45.10.a.d,-8,-1,1,1,0,2:[1:4];7:[1:0];11:[1:1];13:[1:2];17:[1:2];19:[1:1];23:[1:0],1,1
5,10,45,45.10.a.h,1,1,-5,0,5,2:[1:0];7:[1:0];11:[1:0];13:[1:0];17:[1:0];19:[1:1];23:[1:0],1,1
5,10,45,45.10.a.h,1,1,-3/2,0,3/2,2:[1:0];7:[1:0];11:[1:0];13:[1:0];17:[1:0];19:[1:1];23:[1:0],2,1
5,10,45,45.10.a.g,8,-1,-5,0,5,2:[1:0];7:[1:0];11:[1:0];13:[1:0];17:[1:0];19:[1:1];23:[1:0],1,1
5,10,45,45.10.a.g,8,-1,-3/2,0,3/2,2:[1:0];7:[1:0];11:[1:0];13:[1:0];17:[1:0];19:[1:1];23:[1:0],2,1
5,12,45,45.12.a.a,8,-1,-2,2,4,2:[1:4];7:[1:1];11:[1:2];13:[1:2];17:[1:4];19:[1:0];23:[1:3],1,1
5,12,45,45.12.a.b,8,-1,-2,2,4,2:[1:4];7:[1:1];11:[1:2];13:[1:2];17:[1:4];19:[1:0];23:[1:3],1,1
5,12,45,45.12.a.c,1,1,-1,-1,0,2:[1:3];7:[1:0];11:[1:1];13:[1:1];17:[1:4];19:[1:4];23:[1:0],1,1
5,12,45,45.12.a.c,1,1,-2,2,4,2:[1:4];7:[1:1];11:[1:2];13:[1:2];17:[1:4];19:[1:0];23:[1:3],1,1
5,12,45,45.12.a.d,1,1,-1,1,2,2:[1:1];7:[1:4];11:[1:2];13:[1:3];17:[1:1];19:[1:0];23:[1:2],1,1
5,12,45,45.12.a.d,1,1,-2,2,4,2:[1:4];7:[1:1];11:[1:2];13:[1:2];17:[1:4];19:[1:0];23:[1:3],1,1
