p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
13,13,100,13.100.a.a,-6,1,7,-3,1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,98,13.98.a.a,-39,1,40,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,90,13.90.a.b,-33,0,33,12,1,2:[1:6];3:[1:3];5:[1:7];7:[1:1];11:[1:5],1,1
13,13,90,13.90.a.b,-2,1,3,12,1,2:[1:7];3:[1:3];5:[1:6];7:[1:12];11:[1:8],1,1
13,13,98,13.98.a.a,-2,1,3,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,100,13.100.a.a,-18,1,19,-3,1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,104,13.104.a.a,-28,1,29,-3,1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,90,13.90.a.b,-10,1,11,12,1,2:[1:7];3:[1:3];5:[1:6];7:[1:12];11:[1:8],1,1
13,13,98,13.98.a.a,-10,1,11,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,92,13.92.a.b,-22,1,23,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,90,13.90.a.b,-34,1,35,12,1,2:[1:7];3:[1:3];5:[1:6];7:[1:12];11:[1:8],1,1
13,13,100,13.100.a.a,-30,1,31,-3,1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,92,13.92.a.b,-2,1,3,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,98,13.98.a.a,-12,1,13,5,-1,2:[1:9];3:[1:11];5:[1:4];7:[1:0];11:[1:0],1,2
13,13,90,13.90.a.b,-14,1,15,12,1,2:[1:7];3:[1:3];5:[1:6];7:[1:12];11:[1:8],1,1
13,13,104,13.104.a.a,-20,1,21,-3,1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,90,13.90.a.b,-22,1,23,12,1,2:[1:7];3:[1:3];5:[1:6];7:[1:12];11:[1:8],1,1
13,13,92,13.92.a.b,-10,1,11,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,98,13.98.a.a,-1,0,1,5,-1,2:[1:9];3:[1:11];5:[1:4];7:[1:0];11:[1:0],1,1
13,13,100,13.100.a.a,-37,7,44,-3,1,2:[1:7];3:[1:1];5:[1:9];7:[1:9];11:[1:11],1,1
13,13,90,13.90.a.b,-26,1,27,12,1,2:[1:7];3:[1:3];5:[1:6];7:[1:12];11:[1:8],1,1
13,13,92,13.92.a.b,-38,1,39,-7,-1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,104,13.104.a.a,-4,1,5,-3,1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
